actors,comment_count,director,name,profile,publication_date,star
主演:莫妮卡·贝鲁奇Monica...,404295人评价,导演:朱塞佩·托纳多雷GiuseppeTornatore,西西里的美丽传说,美丽无罪。,2000 / 意大利美国 / 剧情战争情色,8.8
主...,319725人评价,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski,黑客帝国,视觉革命。,1999 / 美国澳大利亚 / 动作科幻,8.8
主演:约翰·特拉沃尔塔JohnTra...,379403人评价,导演:昆汀·塔伦蒂诺QuentinTarantino,低俗小说,故事的高级讲法。,1994 / 美国 / 剧情喜剧犯罪,8.8
主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...,540999人评价,导演:TimBurton,剪刀手爱德华,浪漫忧郁的成人童话。,1990 / 美国 / 剧情奇幻爱情,8.7
主演:汤姆·汉克斯TomHanks...,273177人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg,拯救大兵瑞恩,美利坚精神输出大片No1.,1998 / 美国 / 剧情历史战争,8.9
主演:姜文WenJiang/葛优YouGe/周润发Yun-F...,712028人评价,导演:姜文WenJiang,让子弹飞,你给我翻译翻译，神马叫做TMD的惊喜。,2010 / 中国大陆香港 / 剧情喜剧动作西部,8.7
主演:朱迪·福斯特JodieFoster/安...,396183人评价,导演:乔纳森·戴米JonathanDemme,沉默的羔羊,安东尼·霍普金斯的顶级表演。,1991 / 美国 / 剧情犯罪惊悚,8.7
主演:马里奥·卡萨斯MarioCasas/阿...,410431人评价,导演:奥里奥尔·保罗OriolPaulo,看不见的客人,你以为你以为的就是你以为的。,2016 / 西班牙 / 剧情犯罪悬疑惊悚,8.7
主...,429074人评价,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber,蝴蝶效应,人的命运被自己瞬间的抉择改变。,2004 / 美国加拿大 / 剧情悬疑科幻惊悚,8.7
主演:本木雅弘MasahiroMotoki/...,346633人评价,导演:泷田洋二郎YôjirôTakita,入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2008 / 日本 / 剧情,8.8
主演:张国荣LeslieCheung/梁朝伟TonyLeu...,281676人评价,导演:王家卫KarWaiWong,春光乍泄,爱情纠缠，男女一致。,1997 / 香港日本韩国 / 剧情爱情同性,8.8
主演:邱岳峰YuefengQiu/...,118283人评价,导演:万籁鸣LaimingWan/唐澄ChengTang,大闹天宫,经典之作，历久弥新。,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆) / 中国大陆 / 动画奇幻,9.3
主演:尊龙JohnLone/陈...,202326人评价,导演:贝纳尔多·贝托鲁奇BernardoBertolucci,末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,1987 / 意大利中国大陆英国法国 / 剧情传记历史,9.0
主演:托妮·科莱特ToniCollette/菲利...,250288人评价,导演:亚当·艾略特AdamElliot,玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。,2009 / 澳大利亚 / 剧情动画,8.9
